134|100g dried product|5 000234 058322|1403|331|10.2|68.6|48.7|1.7|0|12.1|0.1
135|180ml per 100ml|8715 7987|319|75|1.6|15.1|14.1|0.7|0.1|0.9|0.8
136|10ml serving|8715 7987|32|8|0.2|1.5|1.4|0.1|0|0.1|0.1
137|20g serving|5018 7072|437|106|0|0|0|11.8|2.6|0|0
138|100g|5018 7072|2183|531|0|0|0|59|13|0|0.04
139|100g|5014 7205|102|24|0.5|2|2|0|0|0.1|0.1
140|portion 10g dry weight|20516 02016|137|32|0.59|7.67|0.01|7.65|0|0|0.19
141|100g|20516 02016|1376|326|5.9|76.7|0.05|76.65|0|0|1.9
142|100g|5 000118 056260|161|38|0.7|4.3|2.8|2|1.2|0.7|0.3
143|500ml|5 000118 056260|795|190|3.5|21.5|14|10|6|3.5|1.5
144|0.5 pot|5 000169 626900|627|150|5.4|16.5|6.2|23.1|16.8|3.6|0.83
145|100g|5 000169 626900|209|50|1.8|5.5|1.6|7.7|5.6|1.2|0.27
146|100g|5 060045 370488|174|41|1.5|7|4.3|0.8|0.2|1.2|0.3
147|100g|5 029644 000882|375|90|4.5|5.4|1.2|5.6|2.8|1.4|0.4
148| 350g|5 000116 052820|2200|520|21|80|5.7|13|3.8|3.4|0.4
149|100g|5 000116 052820|575|136|5.6|20.8|1.5|3.4|1|0.9|0.1
150|pie|5 000116 055326|1760|420|15|32|3.3|26|13|1.6|0.6
151|100g|5 000116 055326|1119|268|9.6|20.3|2.1|16.5|7.9|1|0.4
152|bag|5 000116 018444|620|150|18|9|3.7|4.4|1.5|0.2|0.4
153|100g|5 000116 018444|358|85|10.4|5|2.2|2.6|0.9|0.1|0.2
154|375g|5 000116 050949|1900|450|13|79|5.4|9.2|1.5|3.8|0.7
155|100g|5 000116 050949|499|118|3.5|20.6|1.4|2.4|0.4|1|0.2
156|cod fillet baked|5 000116 053209|900|215|16|18|0.1|8.6|4|0.6|0.5
157|100g|5 000116 053209|714|170|12.8|14.2|0.1|6.9|3.2|0.5|0.4
158|hoki steak baked|5 00116 055579|1170|280|14|18|0.3|17|2.1|0.6|0.5
159|100g as sold|5 00116 055579|944|226|11.5|14.4|0.2|13.6|1.7|0.5|0.4
160|steak|5 000116 055593|1040|250|15|20|0.4|12|1.5|0.9|0.4
161|100g|5 000116 055593|907|217|13.1|17.2|0.4|10.6|1.3|0.8|0.3
162|400 g|5 000169 807323|1756|416|36.4|46.8|5.6|9.2|4|3.6|0.8
163|100g|5 000169 807323|439|104|9.1|11.7|1.4|2.3|1|0.9|0.2
164|210 g|5 000169 841273|1980|475|10.3|37.4|5.8|31.5|13.2|2.5|0.8
165|100g|5 000169 841273|943|226|4.9|17.8|2.8|15|6.3|1.2|0.4
166|150g|t166|1251|299|19.1|22.2|5|14.9|2.7|2.1|0.4
167|110g|t166|834|199|12.7|14.8|3.3|9.9|1.8|1.4|0.3
168|150g|5 000169 686027|1206|288|20.2|17.7|1.4|15.1|2.1|1.5|0.47
169|100g|5 000169 686027|804|192|13.5|11.8|0.9|10.1|1.4|1|0.31
170|fillet (110 g)|5 000169 880487|337|81|18.4|0|0|0.7|0.1|0|0.1
171|100g|5 000169 880487|306|74|16.7|0|0|0.6|0.1|0|0.1
172|90g serving|5 000169 188651|95|23|1.7|2.8|2.1|0.5|0|2|0
173|100g|5 000169 188651|104|25|1.9|3.1|2.3|0.5|0.1|2.2|0
174|90g serving|5 000169 518175|89|22|1.7|2.9|2.1|0.4|0|2|0
175|100g|5 000169 518175|99|24|1.9|3.2|2.3|0.5|0|2.2|0
176|100g|5 000169 188644|99|24|1.9|3.2|2.3|0.5|0|2.2|0
177|90g serving|5 000169 073742|165|39|3.2|3.7|2.8|1.3|0.3|3.7|0
178|100g|5 000169 073742|181|43|3.5|4.1|3.1|1.4|0.3|4.1|0
179|100g|0102 8829|310|73|2.1|15.7|0.6|0.2|0|1.3|0
180|1/2 pizza|5 000169 853948|1698|403|18.4|54.1|2.6|12.6|4.1|2.4|0.7
181|100g|5 000169 853948|906|215|9.8|28.9|1.4|6.7|2.2|1.3|0.4
182|1/2 pack (350g)|5 00169 858653|3117|750|23.8|34.7|6.3|57.4|32.2|1.8|1.68
183|100g|5 00169 858653|891|214|6.8|9.9|1.8|16.4|9.2|0.5|0.48
184|400g per pack|5 000169 809327|2428|580|22.4|52.4|6.4|31.2|19.2|3.2|1
185|per 100g|5 000169 809327|607|145|5.6|13.1|1.6|7.8|4.8|0.8|0.2
186|350g per pack|5 000169 858622|1445|345|8.8|38.2|2.8|17.5|10.9|4.3|1.31
187|350g per 100g|5 000169 858622|413|99|2.5|10.9|0.8|5|3.1|1.2|0.37
188|150g|5 000169 005279|1150|274|22|17.8|0.7|13.5|1.5|1.6|0.44
189|100g|5 000169 005279|767|183|14.7|11.9|0.5|9|1|1.1|0.29
190|100g|5 000169 382732|74|17|0.5|3.4|2.5|0.2|0|1|0
191|100g|5 000169 073629|146|35|3.6|3|2.5|0.9|0.2|1.8|0
192|100g|5 000169 508541|139|33|4.4|1.8|1.5|0.9|0.2|2.6|0
193|90g serving|5 000169 508541|125|30|4|1.6|1.4|0.8|0.2|2.3|0
194|0.5 pizza|5 000169 276754|1901|454|16|46.6|2.7|22.6|7.6|3.7|1.4
195|100g|5 000169 276754|975|233|8.2|23.9|1.4|11.6|3.9|1.9|0.7
196|80g serving|5 000169 031674|110|26|3.5|1.4|1.2|0.7|0.2|2.1|0
197|100g|5 000169 031674|138|33|4.4|1.8|1.5|0.9|0.2|2.6|0
198|pack|5 000169 023693|1900|455|14|35.4|12.6|28.7|6|9.4|1.19
199|100g|5 000169 023693|543|130|4|10.1|3.6|8.2|1.7|2.7|0.34
200|pack|5 000169 023679|3462|833|26.6|65.8|22.4|51.1|12.6|14|1.89
201|100g|5 000169 023679|494|119|3.8|9.4|3.2|7.3|1.8|2|0.27
202|70g serving|5 000169 072363|201|47|4|6.5|1.8|0.6|0.1|3.3|0
203|100g|5 000169 072363|288|68|5.7|7.3|2.3|0.9|0.2|4.7|0
204|70g serving|5 000169 072370|201|47|4|6.5|1.8|0.6|0.1|3.3|0
205|100g|5 000169 072370|288|68|5.7|7.3|2.3|0.9|0.2|4.7|0
206|100g|5 000169 508541|139|33|4.4|1.8|1.5|0.9|0.2|2.6|0
207|100g|5 000169 034347|417|99|2.1|14.6|0.9|3.6|2|0.5|0.19
208|pack|5 000169 034347|1668|397|8.4|58.4|3.6|14.4|8|2|0.75
209|pack|5 000169 858721|1159|277|6.7|24.2|3.2|17.2|10.5|1.8|1.41
210|100g|5 000169 858721|331|79|1.9|6.9|0.9|4.9|3|0.5|0.4
211|pack|5 000169 809341|1372|308|7.6|42.5|1.3|14.2|7.9|2|0.84
212|100g|5 000169 809341|392|94|2.2|12.1|0.4|4.1|2.3|0.6|0.63
213|pack|5 000169 023617|1808|432|14|48|14.8|20.4|9.2|5|1.44
214|100g|5 000169 023617|452|108|3.5|12|3.7|5.1|2.3|1.3|0.36
215|pack|5 000169 014141|1478|351|23.5|39.9|3.9|10.9|6.7|1.7|1.01
216|pack|5 000169 014141|422|100|6.7|11.4|1.1|3.1|1.9|0.5|0.29
217|pack|5 000169 043851|1694|403|21.2|43.6|6|16|9.2|2|1
218|100g|5 000169 043851|423|101|5.3|10.9|1.5|4|2.3|0.5|0.25
219|pack|5 000169 023617|1808|432|14|48|14.8|20.4|9.2|5|1.44
220|100g|5 000169 023617|452|108|3.5|12|3.7|5.1|2.3|1.3|0.36
221|pack|5 000169 018460|1667|399|15.3|35.1|5.1|21.9|11.1|9.3|1.26
222|100g|5 000169 018460|556|133|5.1|11.7|1.7|7.3|3.7|3.1|0.42
223|0.5 pizza|5 000169 015773|1289|308|14.1|36.6|5.6|10.6|3.3|2.4|0.68
224|100g|5 000169 015773|1172|280|12.8|33.3|5.1|9.6|3|2.2|0.62
225|90g serving|5 000169 188675|92|22|2.5|1.4|1.3|0.7|0.2|1.9|0
226|100g|5 000169 188675|103|24|2.8|1.5|1.4|0.8|0.2|2.1|0.1
227|pack|t227|1834|438|10.8|47.6|8.8|22.8|9.1|4.2|1.86
228|100g|t227|524|125|3.1|13.6|2.5|6.5|2.6|1.2|0.53
229|pack |5 000169 053768|1684|400|13.2|70|5.6|8.8|3.2|3.6|0.64
230|100g |5 000169 053768|421|100|3.3|17.5|1.4|2.2|0.8|0.9|0.16
231|pack|5 000169 015650|884|210|2.4|32.2|31.6|8|3|4.6|0.36
232|100g|5 000169 015650|442|105|1.2|16.1|15.8|4|1.5|2.3|0.18
233|pack|5 000169 023570|2580|616|20.8|55.2|7.2|34.8|18.4|3.6|1.24
234|100g|5 000169 023570|645|154|5.2|13.8|1.8|8.7|4.6|0.9|0.31
235|0.5 pizza |5 000169 951798|1699|402|15|68.1|14.2|7.7|2.5|6.9|1.17
236|100g|5 000169 951798|882|209|7.8|35.4|7.4|4|1.3|3.6|0.61
237|400g|t237|1840|440|16.4|39.6|9.2|24|16.8|3.6|0.5
238|100g|t237|460|110|4.1|9.9|2.3|6|4.2|0.9|0.1
239|141.8g pie|5 018374 527509|1605|386|6.9|33.5|4.8|24.8|11.1|1.7|0.5
240|100 g|5 018374 527509|1132|272|4.9|23.6|3.4|17.5|7.8|1.2|0.3
241|400g / pack|5 000436 470410|1648|388|13.6|71.2|10.4|5.6|3.4|4.8|1.4
242|100g|5 000436 470410|412|97|3.4|17.8|2.6|1.4|0.8|1.2|0.3
243|100g|5 050179 892239|1043|248|13.1|26.5|1.6|10|3.3|2.8|0.7
244|20g serving|5 018374 037138|391|94|0.8|7.7|0.8|6.7|2.6|0.7|1.2
245|100g |5 018374 037138|1955|470|3.8|38.5|4.2|33.4|12.8|3.7|6
246|232g|5 050179 478440|229|548|27.5|53.9|4.9|24.6|8.6|2.3|1.7
247|100g|5 050179 478440|989|236|11.9|23.2|2.1|10.6|3.7|1|0.7
248|pack|5 010204 494999|1360|320|10.5|62.4|8.6|3.3|2|2.4|1.1
249|100g|5 010204 494999|340|80|2.6|15.6|2.2|0.8|0.5|0.6|0.3
250|pack|5 000436 704683|1812|432|17.6|51.6|8.8|17.2|4.8|3.6|1.4
251|100g|5 000436 704683|453|108|4.4|12.9|2.2|4.3|1.2|0.9|0.3
252|150g serving|5 018374 664303|1239|296|20.6|23|5.4|13.5|1.7|1.8|0.6
253|100g serving|5 018374 664303|826|197|13.7|15.3|3.6|9|1.1|1.2|0.4
254|150g serving|5 010204 157986|1107|263|19.5|26.7|1.1|8.7|0.8|1.5|0.5
255|100g|5 010204 157986|738|175|13|17.8|0.7|5.8|0.5|1|0.3
256|150g serving|5 010204 162874|1389|333|15.2|24.8|3.5|19.2|2.3|1.4|0.7
257|100g|5 010204 162874|926|222|10.1|16.5|2.3|12.8|1.5|0.9|0.5
258|400g|5 010204 494784|892|212|12.5|16.4|4|10.8|6.7|6|1
259|100g|5 010204 494784|223|53|3.1|4.1|1|2.7|1.7|1.5|0.2
260|pack|5 010204 146416|2008|480|16.8|50|1.6|23.6|7.8|5.6|1.3
261|100g|5 010204 146416|502|120|4.2|12.5|0.4|5.9|2|1.4|0.3
262|pack|5 010204 369730|1980|472|17|47.2|1.2|24|14.2|0|0.9
263|100g|5 010204 369730|495|118|4.3|11.8|0.3|6|3.6|0|0.2
264|escolope|5 010204 293219|1598|383|15|30|3|22.5|5.6|3|1.4
265|100g|5 010204 293219|1065|255|10|20|2|15|3.7|2|0.9
266|150g serving|5 010204 293233|1701|408|15|26.3|4.5|27|10.1|3|1.3
267|100g|5 010204 293233|1134|272|10|17.5|3|18|6.7|2|0.9
268|100g|5 031021 156112|128|30|0.7|6.2|5.9|0.3|0.1|2.2|0
269|135g fillet|5 010204 477640|847|201|19|14|3.5|7.7|0.7|2.7|0.3
270|100g|5 010204 477640|627|149|14.1|10.4|2.6|5.7|0.5|2|0.2
271|150g fillet|5 010204 161075|1122|267|19.1|28.1|1.2|8.7|0.6|2|0.4
272|100g|5 010204 161075|748|178|12.7|18.7|0.8|5.8|0.4|1.3|0.3
273|100g|5 000436 920083|127|30|0.7|5.7|5.3|0.5|0.1|2.4|0
274|100g|5 031021 156235|56|13|1.8|0.4|0.2|0.5|0.1|1.1|0
275|100g|5 000119 141606|350|83|6.9|10.4|2.2|1.5|0.3|4.7|0
276|100g|5 031021 130662|39|9|1.3|3.2|3.1|0.5|0|3|0
277|100g|5 010204 736693|1038|250|5.6|17.4|2.5|17.5|7.5|1|0.3
278|100g|5 031021 156235|56|13|1.8|0.4|0.2|0.5|0.1|1.1|0
279|100g|5 018374 251725|137|33|4.4|1.7|1.4|0.9|0.2|2.6|0
280|75g serving boiled in unsalted water |5 018374 251725|97|23|2.5|1.7|1.1|0.7|0|2.7|0
281|400g per pack|5 050179 116298|1816|432|14.6|57.7|6.6|15.8|9.3|2.4|0.9
282|100g|5 050179 116298|454|108|3.6|14.4|1.6|4|2.3|0.6|0.2
283|100g|5 050179 887594|1086|261|6.8|16.6|1.5|18.6|8|1.1|0.3
284|75g serving|5 018374 251626|82|20|1.4|3.3|1.5|0|0|3.1|0
285|100g|5 018374 251626|102|24|1.9|3|2.2|0.5|0.1|2.2|0
286|pack|5 010204 635842|2425|581|22.8|58.7|20.2|28.2|7.1|4.3|1.4
287|100g|5 010204 635842|564|135|5.3|13.6|4.7|6.6|1.7|1|0.3
288|pack|5 010204 635866|1855|443|22.2|36.2|10.5|23.3|6.6|8.2|1.4
289|100g|5 010204 635866|412|99|4.9|8|2.3|5.2|1.5|1.8|0.3
290|pack|5 050179 449778|1476|351|12.2|48.3|4.4|12.2|8.1|4.1|0.8
291|100g|5 050179 449778|328|78|2.7|10.7|1|2.7|1.8|0.9|0.2
292|340g|5 000149 027314|1612|385|8.5|46.6|4.4|6.1|3.4|1.8|1.5
293|100g|5 000149 027314|474|113|2.5|13.7|1.3|1.8|1|0.5|0.4
294|pie|5 000149 016639|1798|430|11|44.2|7.4|23.2|10.1|1.9|0.7
295|100g|5 000149 016639|1016|243|6.2|25|4.2|13.1|5.7|1.1|0.4
296|pie|5 000149 026867|1336.8|316.5|15.6|47.2|6.3|7.1|2.2|5.4|1
297|100g|5 000149 026867|393.2|93.1|4.6|13.9|2.1|2.1|0.6|1.6|0.3
298|100g|5 000149 027765|422|104|3.2|15.8|3.6|3.1|1.3|1.5|0.2
299|pack|5 000149 027765|1350|332|10.3|50.7|11.6|9.8|4.1|4.7|0.8
300|400g|5 050093 301152|1840|440|14|38||26|0|0|
301|serving|5 050093 300919|2390|570|22.7|51.4||30.5|0|0|
302|pack|5 000149 025440|1216|289|11.7|39.6|5|9.3|4.4|4.7|0.9
303|100g|5 000149 025440|405|96|3.9|13.2|1.7|3.1|1.5|1.6|0.3
304|100g|5 000149 025457|297|71|3.1|5.6|2.2|4|1.8|1.1|0.3
305|100g|5 000149 025457|890|213|9.3|16.7|6.6|12.1|5.4|3.3|0.9
306|100g|0837 996|540|130|4.8|14.6|2.2|5.7|3|1.6|0.24
307|pack|0837 996|1890|450|16.8|51.1|7.6|19.9|10.3|5.6|0.84
308|100g|0154 222|505|120|6.7|13.1|2.4|4.6|2.4|1|0.3
309|pack|0154 222|2020|480|26.8|52.4|9.6|18.4|9.6|4|1.2
310|100g|0119 252|270|65|5.6|3.7|2.7|2.6|1.6|2.1|0.1
311|pack|0119 252|810|195|16.8|11.1|8.1|7.8|4.8|6.3|0.3
312|100g|5 000205 020662|973|233|11|15.1|0.3|14.6|7.3|0.6|0.41
313|fillet ovenbaked|5 000205 020662|1313|315|14.9|20.4|0.4|19.7|9.8|0.8|0.6
314|portion ovenbaked|5 000205 024721|1091|261|15|22.2|0.5|12.4|6.4|2.1|0.6
315|100g as sold|5 000205 024721|927|222|11|16.2|2|12.6|6.5|1.4|1.4
